,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
22,4,3,4,Late,4-7,4.378003893670001,4.698951407856654,67.48758459313933,78.50178005428822,1.640648246103568,1.4747709825016164,0.004460747491794812,0.0041560697680558195,4.58
23,4,6,4,Late,4-7,4.693878280240392,5.001517811078655,73.41799291420158,90.21260465262525,1.6735921618064176,1.5296163376971152,0.0038010075777287927,0.0035672105120990332,5.12
24,4,6,8,Late,4-7,3.0519178253794297,3.308413444954597,62.39209387193747,83.26841554865572,1.629621410187562,1.3639294552598735,0.003496822226519466,0.003225719597280926,4.34
25,4,10,5,Late,4-7,11.50499927928959,12.499302974452887,163.12558195344803,211.16124902048017,4.624510802305863,4.120439292731122,0.0015821421848517116,0.0014562847811319137,12.56
26,10,2,5,Late,13-17,1.5609254296433233,1.6584954638103633,22.187601522429276,24.387456386535234,0.22292386692922078,0.21749362401803374,0.014170330346978498,0.013336683438510966,1.52
27,10,2,6,Late,13-17,1.0036733409976382,1.081511952621834,16.00354784215632,17.028669514867588,0.16068656097166004,0.17755943334623167,0.018207271929660502,0.016896857592552827,1.08
28,10,2,7,Late,13-17,1.4116664310848248,1.5155955494128202,20.04360643837985,22.58455025388407,0.18498845980729822,0.19811631403207128,0.01441776588101998,0.013429094664048942,1.44
29,10,3,2,Late,13-17,1.6629349736271055,1.7613847782920986,25.031936649901514,30.761433495426008,0.3500560773996944,0.31792574757677544,0.008895882718646962,0.00839866148296518,1.98
30,10,3,4,Late,13-17,1.7200569442758975,1.8788839066878722,38.07300587489951,51.44497435923863,0.5683149556088782,0.4165266311753749,0.003557683683041491,0.003256943392175826,3.24
31,10,6,4,Late,13-17,1.459932040445591,1.601407096019929,32.086851405473084,39.955929276315935,0.3680333316052408,0.2413133877038455,0.005003771703599328,0.0045617174117160075,2.52
32,10,6,8,Late,13-17,1.413416809560341,1.5634006868893813,51.86810762402868,69.50503457394747,0.4811772306515494,0.2600177824826172,0.0017981697263633849,0.001625663426527812,4.16
33,10,9,4,Late,13-17,2.155443399789673,2.336458520293241,51.895978846781226,63.06157154534321,0.5295451732355849,0.36577973805649994,0.0028209921282396906,0.002602438181915475,4.06
34,10,10,5,Late,13-17,3.7072115508308436,4.04065294036142,85.51794730694932,108.50899595374523,0.9605811105266581,0.5275216459351288,0.0016167526689559307,0.0014833355543408572,7.06
35,12,2,5,Late,8-12,3.6661808717608415,3.8841073195411373,53.804704740623535,51.47423909984717,1.0131077718327506,0.8185109186729557,0.005133633782105653,0.004845599883374097,3.8800000000000003
36,12,2,6,Late,8-12,3.0850171179442754,3.246465657934454,44.4760940024025,45.56400371198177,0.9654983399496324,1.0810533040603512,0.007667609017322754,0.007286294562929323,2.9
37,12,2,7,Late,8-12,2.152749709116778,2.2838937301381486,42.360639116387745,42.92697243265106,0.5745268125401902,0.5134522950812701,0.006128954836137152,0.005777022619999941,2.72
38,12,3,4,Late,8-12,7.726690827972443,8.32057147242748,83.63462636047862,84.6846803498751,2.5784694097237124,2.336440937323727,0.0049639490946351734,0.004609647314146547,5.78
39,12,6,4,Late,8-12,2.0889962620450366,2.2589246450766023,40.491550623717366,41.1172664340353,0.5816318926096731,0.5542654761921696,0.008615273245906187,0.007967186354100065,2.28
40,12,6,8,Late,8-12,3.2443274889664035,3.536969690277105,69.01769092804243,73.77692919074191,1.373319085657355,1.2899513037771082,0.004580143077640507,0.004201190677725065,3.92
41,12,9,4,Late,8-12,2.069069207611878,2.1705295424674764,21.909897395242307,25.716519852674892,0.48178484333820815,0.47865080167342783,0.009750806569934756,0.009295009917393881,2.1
42,12,10,5,Late,8-12,6.455427864147691,6.934701880637104,90.02275946956601,100.70294951928018,1.7348301996175293,1.4235233663373081,0.002854914649671106,0.0026576045944684697,6.96
43,13,2,5,Native,0-3,1.748917750822925,1.8430712675107912,27.491704365475474,29.19386065929207,0.5535809694792533,0.3365680530501675,0.010770636205649784,0.010220416963668332,1.84
44,13,2,6,Native,0-3,1.900221094746304,1.985974241618784,30.63893217046279,31.90189639562796,0.5375349502963548,0.44398826918321516,0.008754956099536165,0.00837692247728048,2.12
45,13,2,7,Native,0-3,0.7849259524081013,0.8294778784261315,16.799149976332693,17.32487042146363,0.18049635430219113,0.16435397340515273,0.015638723198079404,0.014798754758825437,1.02
46,13,3,2,Native,0-3,4.0465163219756,4.248414697414685,74.22026329864495,84.23281926731462,1.0972003820842138,0.9108612970790193,0.0030827610784363367,0.0029362583243662385,5.24
47,13,3,4,Native,0-3,4.675095695359355,4.9258479358152725,104.47203118547341,125.65401877781561,1.4328848961488765,1.2291360104695175,0.0018039434321450495,0.0017121129771329945,7.38
48,13,6,8,Native,0-3,1.8912746121603188,2.106330008681288,36.195410974759334,39.91146750710653,0.5743743071987322,0.43292728185024665,0.007759836459922223,0.006967560463307983,2.32
49,13,9,4,Native,0-3,1.8104927650298241,1.9761005727262462,32.19356567762302,37.62668989709113,0.49364069429113344,0.38329989605913595,0.007670006880632845,0.0070272192401406005,2.26
50,13,10,5,Native,0-3,4.731563370796127,5.104550285083993,88.00266166448768,97.30358517240963,1.0343167838502252,0.9829241404166044,0.0029831632410841982,0.0027651850079457472,5.84
51,14,2,5,Native,0-3,0.8937816008933762,0.9540200585211914,12.412507847573744,13.201370169555265,0.159845404051349,0.08874437844922088,0.027700930851370247,0.02595184671583555,0.82
52,14,2,6,Native,0-3,4.712239090108101,5.044646971772636,58.013855006329834,62.65683224007984,0.8985915566009512,0.7250343797084298,0.006090803356240506,0.0056894608931084,4.06
